College,Year,Credit Enrollment Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Success Count
Alameda,2014-2015,23525.0,15281.0,21413.0,13913.0,18012.0,11572.0
Alameda,2015-2016,24761.0,16630.0,22535.0,15174.0,18752.0,12362.0
Alameda,2016-2017,22700.0,15750.0,20742.0,14374.0,17809.0,12191.0
Alameda,2017-2018,22762.0,15769.0,21082.0,14612.0,18116.0,12519.0
Alameda,2018-2019,22585.0,16264.0,20698.0,14833.0,18783.0,13450.0
Alameda,2019-2020,18626.0,14605.0,17650.0,13753.0,15787.0,12248.0
Alameda,2020-2021,18475.0,13439.0,17627.0,12720.0,15933.0,11465.0
Alameda,2021-2022,15439.0,10871.0,14809.0,10366.0,13342.0,9286.0
Alameda,2022-2023,17391.0,11855.0,16693.0,11274.0,15104.0,10150.0
Alameda,2023-2024,18507.0,12985.0,17697.0,12296.0,16080.0,11093.0
Allan Hancock,2014-2015,57611.0,41037.0,53234.0,38196.0,44664.0,31246.0
Allan Hancock,2015-2016,57394.0,41505.0,53639.0,39076.0,45236.0,32136.0
Allan Hancock,2016-2017,58304.0,42774.0,54741.0,40435.0,46246.0,33610.0
Allan Hancock,2017-2018,56777.0,41680.0,53903.0,39758.0,45620.0,33040.0
Allan Hancock,2018-2019,56010.0,40896.0,54140.0,39644.0,46788.0,33694.0
Allan Hancock,2019-2020,53230.0,41546.0,52308.0,40840.0,44557.0,34171.0
Allan Hancock,2020-2021,50022.0,36895.0,49292.0,36338.0,41705.0,30315.0
Allan Hancock,2021-2022,47942.0,34003.0,47397.0,33589.0,39683.0,27530.0
Allan Hancock,2022-2023,50385.0,36587.0,49124.0,35956.0,42440.0,30152.0
Allan Hancock,2023-2024,53263.0,39383.0,52529.0,38908.0,45097.0,32805.0
American River,2014-2015,150330.0,104649.0,129013.0,88546.0,110201.0,75457.0
American River,2015-2016,154051.0,110939.0,130849.0,93207.0,106186.0,74244.0
American River,2016-2017,149510.0,109635.0,127974.0,93278.0,100791.0,71034.0
American River,2017-2018,145493.0,108986.0,123061.0,91465.0,94394.0,67649.0
American River,2018-2019,148456.0,112411.0,127275.0,95552.0,97822.0,70590.0
American River,2019-2020,128191.0,100862.0,111905.0,87450.0,89949.0,68348.0
American River,2020-2021,112954.0,81411.0,101023.0,72328.0,90260.0,64130.0
American River,2021-2022,111338.0,81718.0,100614.0,73562.0,83698.0,59279.0
American River,2022-2023,119090.0,90988.0,106952.0,81694.0,84183.0,60733.0
American River,2023-2024,130386.0,99971.0,117537.0,89820.0,94328.0,68605.0
Antelope Valley,2014-2015,83156.0,57255.0,71552.0,50414.0,65179.0,45856.0
Antelope Valley,2015-2016,80697.0,56110.0,70611.0,50061.0,64263.0,45581.0
Antelope Valley,2016-2017,79757.0,56434.0,69877.0,50034.0,63420.0,45384.0
Antelope Valley,2017-2018,80904.0,58141.0,69975.0,50655.0,62780.0,45286.0
Antelope Valley,2018-2019,79415.0,56906.0,72448.0,52316.0,64231.0,46337.0
Antelope Valley,2019-2020,74862.0,54549.0,74091.0,54112.0,67329.0,49186.0
Antelope Valley,2020-2021,62184.0,45886.0,61820.0,45712.0,56282.0,41450.0
Antelope Valley,2021-2022,55314.0,39482.0,55058.0,39334.0,50064.0,35587.0
Antelope Valley,2022-2023,60271.0,43427.0,60024.0,43259.0,54329.0,38497.0
Antelope Valley,2023-2024,66646.0,48039.0,66274.0,47789.0,60294.0,42817.0
Bakersfield,2014-2015,103752.0,70936.0,84656.0,57018.0,76045.0,51151.0
Bakersfield,2015-2016,111176.0,75869.0,92201.0,62763.0,82574.0,56170.0
Bakersfield,2016-2017,118478.0,82304.0,100082.0,69397.0,90783.0,62918.0
Bakersfield,2017-2018,122787.0,88191.0,105014.0,75923.0,93120.0,67356.0
Bakersfield,2018-2019,131700.0,92725.0,120656.0,84940.0,94849.0,66985.0
Bakersfield,2019-2020,123181.0,91094.0,119249.0,87669.0,98801.0,72368.0
Bakersfield,2020-2021,124480.0,83348.0,118741.0,78247.0,98996.0,64450.0
Bakersfield,2021-2022,117221.0,78987.0,112304.0,74781.0,96233.0,63470.0
Bakersfield,2022-2023,133219.0,92235.0,128732.0,88264.0,120536.0,81849.0
Bakersfield,2023-2024,144912.0,103104.0,140456.0,99091.0,131390.0,91840.0
Barstow,2014-2015,19889.0,13998.0,18345.0,13004.0,0.0,0.0
Barstow,2015-2016,18997.0,13981.0,17481.0,12885.0,7332.0,5381.0
Barstow,2016-2017,19057.0,13854.0,17581.0,12807.0,14808.0,10738.0
Barstow,2017-2018,18320.0,13442.0,16737.0,12358.0,14109.0,10385.0
Barstow,2018-2019,17936.0,13500.0,17077.0,12904.0,8233.0,6226.0
Barstow,2019-2020,16975.0,12723.0,16916.0,12677.0,3175.0,2188.0
Barstow,2020-2021,13296.0,10202.0,13249.0,10159.0,2315.0,1628.0
Barstow,2021-2022,12757.0,9574.0,12677.0,9508.0,7014.0,5175.0
Barstow,2022-2023,15626.0,11445.0,15546.0,11378.0,14523.0,10542.0
Barstow,2023-2024,17361.0,12419.0,17284.0,12351.0,16054.0,11392.0
Berkeley City,2014-2015,30563.0,19234.0,28859.0,18406.0,26480.0,16888.0
Berkeley City,2015-2016,32376.0,20659.0,30783.0,19901.0,28249.0,18324.0
Berkeley City,2016-2017,30345.0,19247.0,28995.0,18551.0,26918.0,17271.0
Berkeley City,2017-2018,28401.0,18187.0,27176.0,17534.0,25397.0,16426.0
Berkeley City,2018-2019,26137.0,17733.0,24961.0,16966.0,23888.0,16365.0
Berkeley City,2019-2020,21819.0,16621.0,21619.0,16439.0,20306.0,15526.0
Berkeley City,2020-2021,21537.0,15695.0,21311.0,15533.0,20270.0,14822.0
Berkeley City,2021-2022,18139.0,12520.0,17998.0,12417.0,17249.0,11928.0
Berkeley City,2022-2023,20151.0,13727.0,19986.0,13597.0,19371.0,13200.0
Berkeley City,2023-2024,21580.0,14838.0,21400.0,14724.0,20720.0,14245.0
Butte,2014-2015,77491.0,55280.0,75300.0,54083.0,66308.0,48011.0
Butte,2015-2016,72980.0,52612.0,71204.0,51566.0,62923.0,45879.0
Butte,2016-2017,70020.0,51821.0,68419.0,50843.0,60227.0,45301.0
Butte,2017-2018,67466.0,50036.0,66538.0,49484.0,58689.0,43981.0
Butte,2018-2019,63199.0,49154.0,62706.0,48810.0,56768.0,44458.0
Butte,2019-2020,57190.0,45221.0,57034.0,45094.0,53203.0,41925.0
Butte,2020-2021,52431.0,38668.0,52363.0,38615.0,49231.0,36073.0
Butte,2021-2022,53636.0,39841.0,53530.0,39764.0,50505.0,37333.0
Butte,2022-2023,54067.0,40673.0,53986.0,40620.0,51703.0,38650.0
Butte,2023-2024,58207.0,44065.0,58092.0,43979.0,55941.0,42143.0
Cabrillo,2014-2015,78821.0,57160.0,75105.0,54461.0,59679.0,43063.0
Cabrillo,2015-2016,76884.0,56386.0,73469.0,53889.0,58613.0,42660.0
Cabrillo,2016-2017,72547.0,53392.0,69926.0,51534.0,57325.0,42360.0
Cabrillo,2017-2018,70085.0,51599.0,67662.0,49882.0,55594.0,41049.0
Cabrillo,2018-2019,67218.0,49462.0,65389.0,48096.0,56554.0,41788.0
Cabrillo,2019-2020,57807.0,45205.0,56119.0,43982.0,50356.0,39617.0
Cabrillo,2020-2021,53995.0,39638.0,52235.0,38548.0,47316.0,34464.0
Cabrillo,2021-2022,50584.0,35996.0,48821.0,34941.0,44472.0,31483.0
Cabrillo,2022-2023,43171.0,31656.0,42089.0,30891.0,37621.0,27089.0
Cabrillo,2023-2024,46261.0,34324.0,45197.0,33452.0,40266.0,29269.0
Canada,2014-2015,28952.0,20287.0,25741.0,18364.0,24002.0,17237.0
Canada,2015-2016,28523.0,20100.0,25857.0,18396.0,24453.0,17582.0
Canada,2016-2017,27513.0,19691.0,25122.0,18128.0,24013.0,17474.0
Canada,2017-2018,24880.0,17766.0,23117.0,16670.0,22227.0,16155.0
Canada,2018-2019,24229.0,17318.0,22579.0,16301.0,21808.0,15869.0
Canada,2019-2020,22219.0,16406.0,20788.0,15447.0,20441.0,15204.0
Canada,2020-2021,19358.0,15873.0,18470.0,15268.0,18242.0,15083.0
Canada,2021-2022,18907.0,14590.0,18097.0,14054.0,17913.0,13905.0
Canada,2022-2023,21094.0,14927.0,19906.0,14277.0,19875.0,14247.0
