College,Year,Student Count,EOPS Student Count
Alameda,2014-2015,10056,537
Alameda,2015-2016,10291,608
Alameda,2016-2017,9803,560
Alameda,2017-2018,10482,572
Alameda,2018-2019,11048,638
Alameda,2019-2020,10554,564
Alameda,2020-2021,10180,373
Alameda,2021-2022,8993,268
Alameda,2022-2023,9662,737
Alameda,2023-2024,10512,605
Allan Hancock,2014-2015,20275,552
Allan Hancock,2015-2016,20925,713
Allan Hancock,2016-2017,21678,1061
Allan Hancock,2017-2018,21051,995
Allan Hancock,2018-2019,19235,1087
Allan Hancock,2019-2020,19756,1352
Allan Hancock,2020-2021,15870,1016
Allan Hancock,2021-2022,17189,967
Allan Hancock,2022-2023,17411,1001
Allan Hancock,2023-2024,18558,1020
American River,2014-2015,42417,1020
American River,2015-2016,45810,1094
American River,2016-2017,45250,1082
American River,2017-2018,45364,1200
American River,2018-2019,45075,1183
American River,2019-2020,43515,1214
American River,2020-2021,35303,1086
American River,2021-2022,36476,996
American River,2022-2023,37940,946
American River,2023-2024,43034,1122
Antelope Valley,2014-2015,19067,555
Antelope Valley,2015-2016,19070,709
Antelope Valley,2016-2017,18609,758
Antelope Valley,2017-2018,19001,775
Antelope Valley,2018-2019,18992,760
Antelope Valley,2019-2020,18963,640
Antelope Valley,2020-2021,15598,528
Antelope Valley,2021-2022,14192,442
Antelope Valley,2022-2023,15030,411
Antelope Valley,2023-2024,16657,358
Bakersfield,2014-2015,25401,766
Bakersfield,2015-2016,27737,997
Bakersfield,2016-2017,31495,1429
Bakersfield,2017-2018,33474,1368
Bakersfield,2018-2019,36138,1847
Bakersfield,2019-2020,37420,2142
Bakersfield,2020-2021,34963,1821
Bakersfield,2021-2022,33055,1783
Bakersfield,2022-2023,37090,1996
Bakersfield,2023-2024,41159,2083
Barstow,2014-2015,4947,257
Barstow,2015-2016,4703,369
Barstow,2016-2017,4733,394
Barstow,2017-2018,4493,461
Barstow,2018-2019,4552,526
Barstow,2019-2020,4320,507
Barstow,2020-2021,3138,326
Barstow,2021-2022,3731,386
Barstow,2022-2023,4488,366
Barstow,2023-2024,4702,367
Berkeley City,2014-2015,11386,274
Berkeley City,2015-2016,11762,241
Berkeley City,2016-2017,11219,258
Berkeley City,2017-2018,11085,286
Berkeley City,2018-2019,10936,262
Berkeley City,2019-2020,10803,244
Berkeley City,2020-2021,11290,166
Berkeley City,2021-2022,10012,112
Berkeley City,2022-2023,10565,144
Berkeley City,2023-2024,11427,121
Butte,2014-2015,16641,1175
Butte,2015-2016,16326,1188
Butte,2016-2017,15705,1257
Butte,2017-2018,15581,1186
Butte,2018-2019,15156,1106
Butte,2019-2020,14181,951
Butte,2020-2021,11779,577
Butte,2021-2022,11705,464
Butte,2022-2023,12487,574
Butte,2023-2024,13110,702
Cabrillo,2014-2015,17943,271
Cabrillo,2015-2016,17696,353
