College,Year,Credit Enrollment Count,Credit Retention Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Retention Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Retention Count,Transferable Success Count
Alameda,2020-2021,20348,17120,14745,19475,16318,14013,17623,14747,12646
Alameda,2021-2022,17387,14503,12321,16757,13921,11816,15167,12566,10638
Alameda,2022-2023,19919,16265,13795,19221,15627,13214,17450,14175,11951
Alameda,2023-2024,21139,17625,14954,20329,16888,14265,18602,15440,12970
Allan Hancock,2020-2021,54671,48727,40604,53814,47938,39932,45822,40617,33526
Allan Hancock,2021-2022,46292,39858,32794,45772,39388,32405,38220,32615,26470
Allan Hancock,2022-2023,55078,48731,40454,53747,47702,39773,46383,40753,33343
Allan Hancock,2023-2024,58203,52100,43296,57419,51428,42787,49519,44066,36246
American River,2020-2021,127707,107499,92392,114545,96015,82362,102818,85894,73442
American River,2021-2022,125005,106942,92331,113217,96664,83347,94815,79811,67786
American River,2022-2023,135949,119343,104643,122081,107028,93868,96286,82130,70096
American River,2023-2024,148278,130655,114606,133871,117735,103133,107758,92629,79174
Antelope Valley,2020-2021,70425,62167,52352,70005,61826,52151,63768,56243,47290
Antelope Valley,2021-2022,63654,55857,45865,63373,55612,45708,57724,50606,41405
Antelope Valley,2022-2023,70586,63001,51454,70339,62789,51286,63866,56764,45852
Antelope Valley,2023-2024,78610,70035,56519,78214,69694,56251,71495,63433,50646
Bakersfield,2020-2021,144776,126136,98257,136869,118482,91055,114226,98532,75219
Bakersfield,2021-2022,137936,119986,94133,132221,114493,89154,115530,99925,77356
Bakersfield,2022-2023,156781,137618,109415,151547,132555,104802,142857,124695,98032
Bakersfield,2023-2024,168735,149025,121407,163791,144246,116960,154035,135302,109120
Barstow,2020-2021,15351,13965,11721,15304,13919,11678,2627,2307,1829
Barstow,2021-2022,15652,14169,11692,15572,14090,11626,9878,8910,7265
Barstow,2022-2023,18805,17104,13756,18725,17027,13689,17633,15984,12801
Barstow,2023-2024,20216,17911,14406,20139,17836,14338,18805,16611,13303
Berkeley City,2020-2021,23852,19831,17469,23541,19563,17240,22429,18642,16483
Berkeley City,2021-2022,20256,16698,14112,20081,16545,13975,19261,15856,13419
Berkeley City,2022-2023,22700,18460,15635,22501,18282,15475,21787,17708,14989
Berkeley City,2023-2024,24401,19836,16979,24195,19683,16845,23404,19014,16270
Butte,2020-2021,54947,47625,40235,54881,47572,40185,51666,44668,37589
Butte,2021-2022,55102,49138,40821,54999,49038,40747,51960,46267,38321
Butte,2022-2023,55306,49864,41585,55220,49784,41528,52825,47541,39445
Butte,2023-2024,59584,54215,45135,59466,54107,45046,57107,51916,43009
Cabrillo,2020-2021,59971,52554,44228,58108,51042,43070,52029,45372,37917
Cabrillo,2021-2022,55135,48144,39707,53296,46643,38595,47468,41270,33711
Cabrillo,2022-2023,47710,42294,35185,46547,41263,34361,41326,36363,29838
Cabrillo,2023-2024,50385,45189,37563,49297,44175,36669,43696,38876,31849
Canada,2020-2021,22582,21842,18550,21600,20948,17882,21302,20677,17637
Canada,2021-2022,22240,20347,17169,21317,19544,16565,21006,19274,16305
Canada,2022-2023,24373,21129,17514,23112,20133,16814,23081,20102,16784
Canada,2023-2024,27736,24220,20508,26200,22935,19507,26175,22911,19483
Canyons,2020-2021,104221,95552,85405,102121,93636,83729,88824,80630,70980
Canyons,2021-2022,94147,85169,74927,93140,84294,74196,81773,73188,63325
Canyons,2022-2023,103526,95477,85893,103112,95071,85513,80416,72468,63009
Canyons,2023-2024,106565,97830,87164,106144,97419,86759,85051,76424,65863
