College,Year,Student Count,EOPS Student Count
Alameda,2014-2015,10029,537
Alameda,2015-2016,10252,608
Alameda,2016-2017,9767,560
Alameda,2017-2018,10438,572
Alameda,2018-2019,11011,638
Alameda,2019-2020,10531,564
Allan Hancock,2014-2015,20147,552
Allan Hancock,2015-2016,20826,713
Allan Hancock,2016-2017,21551,1061
Allan Hancock,2017-2018,20938,995
Allan Hancock,2018-2019,19138,1087
Allan Hancock,2019-2020,19657,1352
American River,2014-2015,42304,1020
American River,2015-2016,45702,1094
American River,2016-2017,45172,1082
American River,2017-2018,45280,1200
American River,2018-2019,45011,1183
American River,2019-2020,43450,1214
Antelope Valley,2014-2015,18989,555
Antelope Valley,2015-2016,18960,709
Antelope Valley,2016-2017,18504,758
Antelope Valley,2017-2018,18894,775
Antelope Valley,2018-2019,18890,760
Antelope Valley,2019-2020,18876,640
Bakersfield,2014-2015,25303,766
Bakersfield,2015-2016,27644,997
Bakersfield,2016-2017,31472,1429
Bakersfield,2017-2018,33377,1368
Bakersfield,2018-2019,36022,1847
Bakersfield,2019-2020,37292,2142
Barstow,2014-2015,4864,257
Barstow,2015-2016,4633,369
Barstow,2016-2017,4657,394
Barstow,2017-2018,4425,461
Barstow,2018-2019,4480,526
Barstow,2019-2020,4251,507
Berkeley City,2014-2015,11356,274
Berkeley City,2015-2016,11748,241
Berkeley City,2016-2017,11208,258
Berkeley City,2017-2018,11076,286
Berkeley City,2018-2019,10929,262
Berkeley City,2019-2020,10793,244
Butte,2014-2015,16551,1175
Butte,2015-2016,16246,1188
Butte,2016-2017,15622,1257
Butte,2017-2018,15493,1186
Butte,2018-2019,15080,1106
Butte,2019-2020,14138,951
Cabrillo,2014-2015,17891,271
Cabrillo,2015-2016,17640,353
Cabrillo,2016-2017,17340,448
Cabrillo,2017-2018,17278,461
Cabrillo,2018-2019,16497,408
Cabrillo,2019-2020,16172,435
Canada,2014-2015,10276,295
Canada,2015-2016,10081,401
Canada,2016-2017,9938,438
Canada,2017-2018,9569,394
Canada,2018-2019,9453,400
Canada,2019-2020,8935,347
Canyons,2014-2015,30640,478
Canyons,2015-2016,30768,524
Canyons,2016-2017,32138,597
Canyons,2017-2018,32918,556
Canyons,2018-2019,35275,507
Canyons,2019-2020,33591,502
Cerritos,2014-2015,31241,838
Cerritos,2015-2016,31022,1056
Cerritos,2016-2017,31131,1166
Cerritos,2017-2018,31508,1195
Cerritos,2018-2019,31200,1116
Cerritos,2019-2020,31500,1053
Cerro Coso,2014-2015,6727,254
Cerro Coso,2015-2016,6881,240
Cerro Coso,2016-2017,7470,366
Cerro Coso,2017-2018,8156,395
Cerro Coso,2018-2019,8703,376
Cerro Coso,2019-2020,8467,263
Chabot Hayward,2014-2015,18972,303
Chabot Hayward,2015-2016,20270,385
Chabot Hayward,2016-2017,20422,407
Chabot Hayward,2017-2018,19523,413
Chabot Hayward,2018-2019,19697,418
Chabot Hayward,2019-2020,19551,433
Chaffey,2014-2015,26172,835
Chaffey,2015-2016,28392,929
Chaffey,2016-2017,29312,900
Chaffey,2017-2018,30578,963
Chaffey,2018-2019,30737,1072
Chaffey,2019-2020,30308,1059
Citrus,2014-2015,19149,575
Citrus,2015-2016,20079,701
Citrus,2016-2017,20263,754
Citrus,2017-2018,20092,782
Citrus,2018-2019,19862,727
Citrus,2019-2020,19709,637
Clovis,2014-2015,0,0
Clovis,2015-2016,8719,70
Clovis,2016-2017,10022,285
Clovis,2017-2018,11098,331
Clovis,2018-2019,12229,349
Clovis,2019-2020,13164,415
Coastline,2014-2015,16978,165
Coastline,2015-2016,17701,207
Coastline,2016-2017,17816,393
